Issue,Subject,Company,Response,Product Area,Status,Request Type,Justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"To restore your access to the Claude team workspace, please contact your IT admin and have them reassign you to an Enterprise seat. You can refer to the documentation on purchasing and managing seats on Enterprise plans: https://support.claude.com/en/articles/13393991-purchase-and-manage-seats-on-enterprise-plans",admin_management,Replied,product_issue,"User lost access due to seat removal, relevant documentation found on purchasing and managing seats on Enterprise plans."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,We can't review your test answers or increase your score. HackerRank doesn't participate in hiring decisions and can't modify your hiring workflow. Please contact your recruiter or hiring team to discuss your application.,getting_started,Replied,invalid,"User Ticket is requesting a review of their test answers and score increase, which is outside of HackerRank's scope. Retrieved docs indicate that HackerRank doesn't participate in hiring decisions and can't modify the hiring workflow."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,We encountered an unexpected issue processing your request. Your ticket has been escalated to a human agent.,general_support,Escalated,product_issue,Unexpected error: 'log_entry'. Escalated for human review.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"If your mock interviews stopped in between, please refresh the page and retry the payment. If any amount was deducted incorrectly, it will be refunded within 5–10 business days. You can refer to our Subscriptions, Payments, and Billing FAQs for more information.",subscriptions_payments_and_billing,Replied,product_issue,"Based on Document 2, Subscriptions, Payments, and Billing FAQs, the issue seems to be related to payment failure, which is covered in the FAQs."
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,We encountered an unexpected issue processing your request. Your ticket has been escalated to a human agent.,general_support,Escalated,product_issue,Unexpected error: 'log_entry'. Escalated for human review.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,I'm unable to assist with your company's infosec process as it's not related to HackerRank's features or functionality. Please contact help@hackerrank.com for further assistance.,uncategorized,Escalated,invalid,"The issue is not related to HackerRank's features or functionality, and the retrieved documentation does not provide any relevant information."
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,The Apply tab has been deprecated. You can access the features of the Apply tab under the Prepare tab. Please refer to the Notification article for more information.,additional_resources,Replied,product_issue,"The user is experiencing an issue with the Apply tab, which is deprecated. The solution is to access the features under the Prepare tab."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Please try closing the challenge window, then reopening it using the same challenge link. If the issue persists, try opening the challenge in another supported browser, such as the latest versions of Chrome, Firefox, or Edge, for full compatibility. Ensure your internet connection is stable.",practice_coding_challenges,Replied,bug,"Based on Document 1, the issue is likely related to the challenge loading or processing. The user should try the troubleshooting steps provided in the document."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,Please check the system requirements and ensure that your Zoom connectivity is stable. You can refer to our documentation on Best Practices for Running Group Assessments in Proctor Mode for more information.,test_integrity,Replied,product_issue,"Based on the user's issue with compatibility check and Zoom connectivity, I referred them to our documentation on Best Practices for Running Group Assessments in Proctor Mode."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Unfortunately, we cannot reschedule your HackerRank assessment directly. However, you can try reinviting yourself to the test using the steps outlined in our support article: Reinvite Candidates to a Test. If you're still experiencing issues, please contact your recruiter or reach out to help@hackerrank.com for further assistance.",scheduling,Replied,feature_request,"The user is requesting a rescheduling of their HackerRank assessment, which is not a standard feature. However, we can suggest alternative solutions such as reinviting themselves to the test."
